Id,Time,Value
2026352035,4/17/2016 5:30:20 AM,70
2026352035,4/17/2016 5:30:30 AM,66
2026352035,4/17/2016 5:30:40 AM,67
2026352035,4/17/2016 5:30:55 AM,67
2026352035,4/17/2016 5:31:10 AM,67
2026352035,4/17/2016 5:31:25 AM,67
2026352035,4/17/2016 5:31:30 AM,68
2026352035,4/17/2016 5:31:45 AM,68
2026352035,4/17/2016 5:31:50 AM,69
2026352035,4/17/2016 5:32:00 AM,67
2026352035,4/17/2016 5:32:15 AM,67
2026352035,4/17/2016 5:32:30 AM,67
2026352035,4/17/2016 5:32:40 AM,67
2026352035,4/17/2016 5:32:50 AM,66
2026352035,4/17/2016 5:33:00 AM,65
2026352035,4/17/2016 5:33:15 AM,65
2026352035,4/17/2016 5:33:30 AM,65
2026352035,4/17/2016 5:33:40 AM,65
2026352035,4/17/2016 5:33:50 AM,64
2026352035,4/17/2016 5:34:00 AM,63
2026352035,4/17/2016 5:34:10 AM,64
2026352035,4/17/2016 5:34:25 AM,64
2026352035,4/17/2016 5:34:40 AM,64
2026352035,4/17/2016 5:34:55 AM,64
2026352035,4/17/2016 5:35:00 AM,66
2026352035,4/17/2016 5:35:10 AM,65
2026352035,4/17/2016 5:35:20 AM,64
2026352035,4/17/2016 5:35:30 AM,63
2026352035,4/17/2016 5:35:40 AM,64
2026352035,4/17/2016 5:35:50 AM,65
2026352035,4/17/2016 5:36:05 AM,65
2026352035,4/17/2016 5:36:10 AM,66
2026352035,4/17/2016 5:36:20 AM,65
2026352035,4/17/2016 5:36:35 AM,65
2026352035,4/17/2016 5:36:50 AM,65
2026352035,4/17/2016 5:37:05 AM,65
2026352035,4/17/2016 5:37:20 AM,65
2026352035,4/17/2016 5:37:35 AM,65
2026352035,4/17/2016 5:37:50 AM,65
2026352035,4/17/2016 5:38:05 AM,65
2026352035,4/17/2016 5:38:20 AM,65
2026352035,4/17/2016 5:38:35 AM,65
2026352035,4/17/2016 5:38:50 AM,65
2026352035,4/17/2016 5:39:05 AM,65
2026352035,4/17/2016 5:39:10 AM,65
2026352035,4/17/2016 5:39:25 AM,65
2026352035,4/17/2016 5:39:30 AM,66
2026352035,4/17/2016 5:39:40 AM,67
2026352035,4/17/2016 5:39:50 AM,68
2026352035,4/17/2016 5:40:05 AM,68
2026352035,4/17/2016 5:40:20 AM,68
2026352035,4/17/2016 5:40:30 AM,73
2026352035,4/17/2016 5:40:40 AM,69
2026352035,4/17/2016 5:40:50 AM,67
2026352035,4/17/2016 5:41:05 AM,67
2026352035,4/17/2016 5:41:10 AM,67
2026352035,4/17/2016 5:41:25 AM,67
2026352035,4/17/2016 5:41:30 AM,69
2026352035,4/17/2016 5:41:45 AM,69
2026352035,4/17/2016 5:42:00 AM,69
2026352035,4/17/2016 5:42:10 AM,67
2026352035,4/17/2016 5:42:20 AM,70
2026352035,4/17/2016 5:42:30 AM,67
2026352035,4/17/2016 5:42:40 AM,68
2026352035,4/17/2016 5:42:55 AM,68
2026352035,4/17/2016 5:43:10 AM,68
2026352035,4/17/2016 5:43:20 AM,67
2026352035,4/17/2016 5:43:30 AM,67
2026352035,4/17/2016 5:43:40 AM,69
2026352035,4/17/2016 5:43:55 AM,69
2026352035,4/17/2016 5:44:10 AM,69
2026352035,4/17/2016 5:44:20 AM,68
2026352035,4/17/2016 5:44:30 AM,67
2026352035,4/17/2016 5:44:40 AM,70
2026352035,4/17/2016 5:44:50 AM,67
2026352035,4/17/2016 5:45:05 AM,67
2026352035,4/17/2016 5:45:20 AM,67
2026352035,4/17/2016 5:45:30 AM,66
2026352035,4/17/2016 5:45:40 AM,64
2026352035,4/17/2016 5:45:50 AM,65
2026352035,4/17/2016 5:46:05 AM,65
2026352035,4/17/2016 5:46:20 AM,65
2026352035,4/17/2016 5:46:35 AM,65
2026352035,4/17/2016 5:46:40 AM,66
2026352035,4/17/2016 5:46:45 AM,67
2026352035,4/17/2016 5:47:00 AM,67
2026352035,4/17/2016 5:47:15 AM,67
2026352035,4/17/2016 5:47:30 AM,67
2026352035,4/17/2016 5:47:45 AM,67
2026352035,4/17/2016 5:48:00 AM,67
2026352035,4/17/2016 5:48:10 AM,66
2026352035,4/17/2016 5:48:25 AM,66
2026352035,4/17/2016 5:48:40 AM,66
2026352035,4/17/2016 5:48:50 AM,67
2026352035,4/17/2016 5:49:05 AM,67
2026352035,4/17/2016 5:49:10 AM,68
2026352035,4/17/2016 5:49:25 AM,68
2026352035,4/17/2016 5:49:40 AM,68
2026352035,4/17/2016 5:49:50 AM,66
2026352035,4/17/2016 5:50:00 AM,68
2026352035,4/17/2016 5:50:15 AM,68
2026352035,4/17/2016 5:50:20 AM,69
2026352035,4/17/2016 5:50:30 AM,70
2026352035,4/17/2016 5:50:40 AM,66
2026352035,4/17/2016 5:50:50 AM,65
2026352035,4/17/2016 5:50:55 AM,67
2026352035,4/17/2016 5:51:00 AM,68
2026352035,4/17/2016 5:51:15 AM,68
2026352035,4/17/2016 5:51:30 AM,68
2026352035,4/17/2016 5:51:45 AM,68
2026352035,4/17/2016 5:52:00 AM,68
2026352035,4/17/2016 5:52:15 AM,68
2026352035,4/17/2016 5:52:30 AM,68
2026352035,4/17/2016 5:52:45 AM,68
2026352035,4/17/2016 5:53:00 AM,68
2026352035,4/17/2016 5:53:15 AM,68
2026352035,4/17/2016 5:53:30 AM,68
2026352035,4/17/2016 5:53:45 AM,68
2026352035,4/17/2016 5:54:00 AM,68
2026352035,4/17/2016 5:54:15 AM,68
2026352035,4/17/2016 5:54:20 AM,68
2026352035,4/17/2016 5:54:30 AM,67
2026352035,4/17/2016 5:54:40 AM,68
2026352035,4/17/2016 5:54:55 AM,68
2026352035,4/17/2016 5:55:10 AM,67
2026352035,4/17/2016 5:55:20 AM,67
2026352035,4/17/2016 5:55:35 AM,67
2026352035,4/17/2016 5:55:50 AM,67
2026352035,4/17/2016 5:56:05 AM,67
2026352035,4/17/2016 5:56:20 AM,67
2026352035,4/17/2016 5:56:35 AM,67
2026352035,4/17/2016 5:56:50 AM,67
2026352035,4/17/2016 5:57:00 AM,68
2026352035,4/17/2016 5:57:10 AM,70
2026352035,4/17/2016 5:57:20 AM,72
2026352035,4/17/2016 5:57:30 AM,71
2026352035,4/17/2016 5:57:45 AM,71
2026352035,4/17/2016 5:58:00 AM,71
2026352035,4/17/2016 5:58:10 AM,70
2026352035,4/17/2016 5:58:20 AM,71
2026352035,4/17/2016 5:58:30 AM,72
2026352035,4/17/2016 5:58:45 AM,72
